,neg,neu,pos,compound
373,0.0,1.0,0.0,0.0
374,0.173,0.827,0.0,-0.3182
375,0.224,0.776,0.0,-0.3818
376,0.0,1.0,0.0,0.0
377,0.0,1.0,0.0,0.0
378,0.187,0.813,0.0,-0.3182
379,0.0,1.0,0.0,0.0
380,0.0,1.0,0.0,0.0
381,0.0,1.0,0.0,0.0
382,0.0,0.506,0.494,0.4404
383,0.192,0.615,0.192,0.0
384,0.185,0.613,0.202,0.049
385,0.0,0.534,0.466,0.7269
386,0.0,1.0,0.0,0.0
387,0.104,0.896,0.0,-0.2177
388,0.351,0.649,0.0,-0.7964
389,0.0,1.0,0.0,0.0
390,0.123,0.726,0.151,0.128
391,0.21,0.694,0.096,-0.5371
392,0.0,0.93,0.07,0.3612
393,0.127,0.873,0.0,-0.5499
394,0.0,1.0,0.0,0.0
395,0.0,1.0,0.0,0.0
396,0.0,1.0,0.0,0.0
397,0.0,1.0,0.0,0.0
398,0.261,0.739,0.0,-0.7717
399,0.247,0.753,0.0,-0.3182
400,0.0,1.0,0.0,0.0
401,0.0,1.0,0.0,0.0
402,0.0,1.0,0.0,0.0
403,0.104,0.896,0.0,-0.4215
404,0.0,0.856,0.144,0.4939
405,0.124,0.706,0.171,0.2023
406,0.0,1.0,0.0,0.0
407,0.0,1.0,0.0,0.0
408,0.388,0.612,0.0,-0.6221
409,0.182,0.818,0.0,-0.25
410,0.0,1.0,0.0,0.0
411,0.0,1.0,0.0,0.0
412,0.0,0.815,0.185,0.3612
413,0.0,0.536,0.464,0.3818
414,0.0,1.0,0.0,0.0
415,0.07,0.877,0.053,-0.1531
416,0.174,0.826,0.0,-0.2732
417,0.0,1.0,0.0,0.0
418,0.0,1.0,0.0,0.0
419,0.0,1.0,0.0,0.0
420,0.0,1.0,0.0,0.0
421,0.0,1.0,0.0,0.0
422,0.0,1.0,0.0,0.0
423,0.0,1.0,0.0,0.0
424,0.0,1.0,0.0,0.0
425,0.0,1.0,0.0,0.0
426,0.171,0.829,0.0,-0.5423
427,0.0,1.0,0.0,0.0
428,0.169,0.831,0.0,-0.3919
429,0.0,1.0,0.0,0.0
430,0.0,1.0,0.0,0.0
431,0.107,0.893,0.0,-0.0516
432,0.0,1.0,0.0,0.0
433,0.0,1.0,0.0,0.0
434,0.0,1.0,0.0,0.0
435,0.0,1.0,0.0,0.0
436,0.154,0.662,0.184,0.1027
437,0.0,1.0,0.0,0.0
438,0.0,1.0,0.0,0.0
439,0.0,1.0,0.0,0.0
440,0.0,0.556,0.444,0.34
441,0.0,0.457,0.543,0.8934
442,0.133,0.867,0.0,-0.0572
443,0.0,0.61,0.39,0.4927
444,0.0,1.0,0.0,0.0
445,0.0,0.54,0.46,0.3724
446,0.0,1.0,0.0,0.0
447,0.0,1.0,0.0,0.0
448,0.0,1.0,0.0,0.0
449,0.0,1.0,0.0,0.0
450,0.0,0.745,0.255,0.6249
451,0.0,0.89,0.11,0.2732
452,0.0,0.568,0.432,0.872
453,0.138,0.69,0.172,0.0516
454,0.0,1.0,0.0,0.0
455,0.0,1.0,0.0,0.0
456,0.262,0.738,0.0,-0.4939
457,0.0,1.0,0.0,0.0
458,0.0,0.545,0.455,0.3612
459,0.0,0.667,0.333,0.3612
460,0.0,1.0,0.0,0.0
461,0.0,0.775,0.225,0.4404
462,0.0,1.0,0.0,0.0
463,0.0,1.0,0.0,0.0
464,0.0,1.0,0.0,0.0
465,0.0,0.663,0.337,0.7269
466,0.0,1.0,0.0,0.0
467,0.0,1.0,0.0,0.0
468,0.0,0.408,0.592,0.4404
469,0.0,1.0,0.0,0.0
470,0.0,1.0,0.0,0.0
471,0.247,0.619,0.134,-0.2732
472,0.0,1.0,0.0,0.0
473,0.0,1.0,0.0,0.0
474,0.0,1.0,0.0,0.0
475,0.0,1.0,0.0,0.0
476,0.0,1.0,0.0,0.0
477,0.0,1.0,0.0,0.0
478,0.0,1.0,0.0,0.0
479,0.197,0.803,0.0,-0.2411
480,0.0,1.0,0.0,0.0
481,0.0,1.0,0.0,0.0
482,0.0,0.816,0.184,0.4019
483,0.0,1.0,0.0,0.0
484,0.0,1.0,0.0,0.0
485,0.0,0.843,0.157,0.3818
486,0.0,1.0,0.0,0.0
487,0.0,1.0,0.0,0.0
488,0.0,0.802,0.198,0.6369
489,0.163,0.837,0.0,-0.4767
490,0.0,0.805,0.195,0.6249
491,0.0,1.0,0.0,0.0
492,0.117,0.761,0.122,0.0516
493,0.0,0.676,0.324,0.5859
494,0.0,1.0,0.0,0.0
495,0.0,0.549,0.451,0.802
496,0.0,1.0,0.0,0.0
497,0.0,0.408,0.592,0.4404
498,0.0,1.0,0.0,0.0
499,0.115,0.696,0.189,0.647
500,0.0,1.0,0.0,0.0
501,0.0,1.0,0.0,0.0
502,0.0,0.631,0.369,0.6249
503,0.0,1.0,0.0,0.0
504,0.6,0.4,0.0,-0.7184
505,0.0,1.0,0.0,0.0
506,0.0,1.0,0.0,0.0
507,0.0,1.0,0.0,0.0
508,0.0,1.0,0.0,0.0
509,0.134,0.866,0.0,-0.1779
510,0.062,0.73,0.208,0.6124
511,0.0,0.704,0.296,0.5209
512,0.262,0.556,0.183,-0.25
513,0.096,0.753,0.151,0.0772
514,0.0,0.5,0.5,0.7184
515,0.0,0.64,0.36,0.8074
516,0.0,0.37,0.63,0.6259
517,0.0,1.0,0.0,0.0
518,0.296,0.704,0.0,-0.2732
